시도명,구명,동명,면적_km2,구성비_percent,행정동_수,법정동_수
서울시,서초구,반포1동,1.0,0.17,1.0,0
서울시,서초구,반포2동,1.35,0.22,1.0,0
서울시,서초구,반포3동,1.28,0.21,1.0,1
서울시,서초구,반포4동,1.43,0.24,1.0,0
서울시,서초구,방배본동,0.67,0.11,1.0,0
서울시,서초구,방배1동,0.7,0.12,1.0,0
서울시,서초구,방배2동,1.93,0.32,1.0,0
서울시,서초구,방배3동,2.4,0.4,1.0,0
서울시,서초구,방배4동,0.98,0.16,1.0,0
서울시,서초구,양재1동,5.76,0.95,1.0,2
서울시,서초구,양재2동,7.58,1.25,1.0,1
서울시,서초구,내곡동,12.68,2.1,1.0,3
서울시,강남구,소계,39.5,6.53,22.0,14
서울시,강남구,신사동,1.89,0.31,1.0,1
서울시,강남구,개포3동,1.24,0.2,1.0,0
서울시,강남구,논현1동,1.25,0.21,1.0,1
서울시,강남구,논현2동,1.47,0.24,1.0,0
서울시,강남구,삼성1동,1.94,0.32,1.0,1
서울시,강남구,삼성2동,1.24,0.2,1.0,0
서울시,강남구,대치1동,0.79,0.13,1.0,1
서울시,강남구,대치2동,2.0,0.33,1.0,0
서울시,강남구,대치4동,0.73,0.12,1.0,0
서울시,강남구,역삼1동,2.35,0.39,1.0,1
서울시,강남구,역삼2동,1.15,0.19,1.0,0
서울시,강남구,도곡1동,1.02,0.17,1.0,1
서울시,강남구,도곡2동,1.02,0.17,1.0,0
서울시,강남구,개포1동,1.27,0.21,1.0,1
서울시,강남구,개포2동,2.51,0.41,1.0,0
서울시,강남구,개포4동,1.49,0.25,1.0,0
서울시,강남구,일원본동,2.58,0.43,1.0,1
서울시,강남구,일원1동,0.92,0.15,1.0,0
서울시,강남구,수서동,1.43,0.24,1.0,1
서울시,강남구,세곡동,6.36,1.05,1.0,3
서울시,강남구,압구정동,2.53,0.42,1.0,1
서울시,강남구,청담동,2.33,0.38,1.0,1
서울시,송파구,소계,33.88,5.6,27.0,13
서울시,송파구,풍납1동,0.77,0.13,1.0,1
서울시,송파구,풍납2동,1.59,0.26,1.0,0
서울시,송파구,거여1동,0.51,0.08,1.0,1
서울시,송파구,거여2동,0.53,0.09,1.0,0
서울시,송파구,마천1동,0.58,0.1,1.0,1
서울시,송파구,마천2동,0.89,0.15,1.0,0
서울시,송파구,방이1동,0.5,0.08,1.0,1
서울시,송파구,방이2동,0.8,0.13,1.0,0
서울시,송파구,오륜동,3.17,0.52,1.0,0
서울시,송파구,오금동,1.65,0.27,1.0,1
서울시,송파구,송파1동,0.79,0.13,1.0,1
서울시,송파구,송파2동,0.53,0.09,1.0,0
서울시,송파구,석촌동,0.95,0.16,1.0,1
서울시,송파구,삼전동,0.95,0.16,1.0,1
서울시,송파구,가락본동,1.13,0.19,1.0,1
서울시,송파구,가락1동,1.34,0.22,1.0,0
서울시,송파구,가락2동,0.96,0.16,1.0,0
서울시,송파구,문정1동,0.56,0.09,1.0,1
서울시,송파구,문정2동,2.2,0.36,1.0,0
서울시,송파구,장지동,1.37,0.23,1.0,1
서울시,송파구,위례동,2.55,0.42,1.0,0
서울시,송파구,잠실본동,0.94,0.16,1.0,1
서울시,송파구,잠실2동,2.18,0.36,1.0,0
서울시,송파구,잠실3동,1.49,0.25,1.0,0
서울시,송파구,잠실4동,1.56,0.26,1.0,1
서울시,송파구,잠실6동,2.79,0.46,1.0,0
서울시,송파구,잠실7동,0.6,0.1,1.0,0
서울시,강동구,소계,24.59,4.06,19.0,9
서울시,강동구,명일1동,0.61,0.1,1.0,1
서울시,강동구,명일2동,0.97,0.16,1.0,0
서울시,강동구,고덕1동,1.51,0.25,1.0,1
서울시,강동구,고덕2동,2.5,0.41,1.0,0
서울시,강동구,암사1동,1.02,0.17,1.0,1
서울시,강동구,암사2동,1.18,0.19,1.0,0
서울시,강동구,암사3동,2.51,0.41,1.0,0
서울시,강동구,천호1동,0.71,0.12,1.0,1
서울시,강동구,천호2동,1.57,0.26,1.0,0
서울시,강동구,천호3동,0.79,0.13,1.0,0
서울시,강동구,성내1동,0.58,0.1,1.0,1
서울시,강동구,성내2동,0.67,0.11,1.0,0
서울시,강동구,성내3동,0.71,0.12,1.0,0
서울시,강동구,길동,1.61,0.27,1.0,1
서울시,강동구,둔촌1동,0.92,0.15,1.0,1
서울시,강동구,둔촌2동,1.56,0.26,1.0,0
서울시,강동구,강일동,2.26,0.37,1.0,1
서울시,강동구,상일1동,1.82,0.3,1.0,1
서울시,강동구,상일2동,1.09,0.18,1.0,0
